x,station_0,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,station_12,station_13,station_14,station_15,station_16,station_17,station_18,station_19,station_20,station_21,station_22,station_23,station_24,station_25,station_26,station_27,station_28,station_29,station_30,station_31,station_32,station_33,station_34,station_35,station_36,station_37,station_38,station_39,station_40,station_41,station_42,station_43,station_44,station_45,station_46,station_47,station_48,station_49,station_50,station_51,station_52,station_53,station_54,station_55,station_56
96.0,52.865642606957245,57.65966019375525,53.54600610195687,58.46141407508231,58.25750762391694,47.285851847962626,60.374478059739566,59.37677057726438,52.03339471400185,56.15584217010373,58.75630854661067,53.17675882611012,58.748750764741764,53.11597431186289,58.393452475891515,49.94102038776979,56.65068266041598,54.02243087881692,53.01621051268846,55.55645715550797,57.77230351020221,55.92601897514825,58.79964069685165,58.4153356352871,48.67037391232866,62.985449072100195,60.80239525490622,54.36214977726829,57.618946193271796,61.03499468848791,54.558883422326204,51.69314063680638,53.23496826889702,59.87983491900231,51.782282428906036,58.0580493150267,54.98831108417702,54.103890796050734,53.990646559759334,53.18609035371396,51.093543955713045,54.98917903043716,55.88240698646007,48.20477599317799,58.62076594764345,56.727605469038856,50.06043520517373,54.20692113085364,56.64923546921648,52.77592477129198,51.0426763318508,51.46946349380139,55.777904891842645,50.63959429532837,56.30195744654169,53.47712180102397,52.3730581314739
97.0,53.05028212398379,57.930433433758004,53.84798154001195,58.72444411800072,58.52382650322144,47.38486506876942,60.546645034836416,59.51211920563818,52.11773222005082,56.46213385878029,58.92601628872374,53.2581077089135,58.81297938852206,53.36544427410851,58.494982164052765,50.12527812316398,56.74278253568323,54.129561828806686,53.21057115209901,55.67609306537596,57.85538332323153,56.131419967116095,58.9080835989617,58.51382948443956,48.74257190628795,63.08393366952984,60.880128370036786,54.459174498189405,57.85998419317844,61.12129826747934,54.627316627472005,51.68051160667966,53.31621813532471,59.91359942085838,51.88661548677314,58.10648335417935,55.0486016130016,54.202666154300324,54.26952038862862,53.56798008265515,51.598953290619804,55.333040995924385,56.207189007566605,48.41740383972723,58.9245481600603,56.91449533071372,50.195288478465265,54.60013882063033,56.801404449731315,52.95891236260145,51.15519853832175,51.7860839624514,55.915081387226124,50.859055618014054,56.4136401544791,53.68635055724016,52.63070616170787
98.0,53.23635662717521,58.20199165519778,54.15342588386309,58.990702797976766,58.79153288116684,47.487466702827135,60.71792362215855,59.64757284353904,52.20346200128612,56.770289864494316,59.09543321932166,53.34263645645009,58.86901818935942,53.617532515003695,58.597070142508485,50.315215693801605,56.83482266805106,54.239013530922584,53.41057503762493,55.79436335733747,57.940627545120876,56.332131001916004,59.01976370854133,58.61413121392042,48.81513576826074,63.179203520921554,60.95801907662653,54.557989095630056,58.09496198224354,61.20335231506541,54.69689271391874,51.67504505272477,53.39622415543393,59.94889552008308,51.99290478236596,58.154827418548834,55.10977475472073,54.304913888402474,54.539373267924375,53.947738632638924,52.10203650952797,55.674858754784104,56.52791325034068,48.627682735994355,59.22058633294014,57.10001973900156,50.32848972592645,54.98681552437723,56.95120201444527,53.13992848667343,51.26668054741066,52.0993967310739,56.05285991208669,51.07418685343941,56.527062693040065,53.893313940830986,52.88288870198916
99.0,53.42369179457003,58.474134269527724,54.462207249017446,59.2598571386716,59.06035046764439,47.59351706947465,60.8882374238838,59.78291527925486,52.290566604791564,57.080123546928505,59.26423882903362,53.43031135696085,58.91667460193551,53.871984501602654,58.69947136106373,50.510600855312006,56.92663797138797,54.350744200592246,53.6159506269869,55.91158407868095,58.02831478561586,56.528345444147355,59.134971230536756,58.71655771857149,48.88810898174475,63.2714000239853,61.03601010637421,54.65864617463464,58.32394846729216,61.28118967377333,54.767743113534515,51.67668394755579,53.47528232581528,59.9856831167168,52.10133963624468,58.20303286963542,55.17202072508555,54.41083948640303,54.79967671220456,54.32474342710537,52.602039986374685,56.01404622850821,56.844117361682464,48.83524340280517,59.508202996029745,57.28376191768064,50.45994703635687,55.36637552512936,57.098447289631935,53.318698150223064,51.377073812547735,52.40896101538398,56.19095550111958,51.284623621236214,56.642067394615076,54.097683399647536,53.129136333373886
100.0,53.61211835730028,58.74666942688632,54.774182000422044,59.53156610184881,59.33000451819779,47.70286926307577,61.05752116803055,59.9179347596836,52.379026147317205,57.391447374152406,59.43211670479511,53.52108852926207,58.95578944517759,54.128546309227076,58.801944679574255,50.71118511077822,57.01806730313184,54.46470554606476,53.826407071477796,56.02808307404277,58.11872711198924,56.72028006646146,59.2539878544233,58.821426583991006,48.961544172815394,63.36068723611831,61.114050919548035,54.761195064907895,58.54704551428827,61.35486390069935,54.83999934101289,51.68535399461349,53.553706315036095,60.02392130532489,52.21210771323847,58.251055465430454,55.23553213772568,54.520639362912995,55.04994725460541,54.698396898488795,53.098232101247916,56.35003616885148,57.15536863754318,49.03973285085582,59.78676241999356,57.46531542834434,50.589580046108765,55.738284422490956,57.24297217725672,53.49496026142289,51.48633805382749,52.71436330726301,56.32908351523424,51.490027794425856,56.7584929982233,54.2991467917571,53.36901021718467
101.0,53.8014729156289,59.01941476847916,55.089195437459566,59.80548190773801,59.60022293480657,47.815369850882966,61.22572115304852,60.05242506337499,52.46881834664186,57.7040736752608,59.5987560294221,53.61491415722296,58.98623777977177,54.38696563267811,58.904254141789075,50.91670457033847,57.10895428000448,54.58084299800943,54.04163530967371,56.14419810061119,58.212148968633734,56.90817397681525,59.37708528831899,58.929054595852264,49.035502638198736,63.44725120612148,61.192097946478334,54.86568117776986,58.76438721846642,61.42444891511858,54.913792164210776,51.70096414442936,53.631825968096564,60.06356856632426,52.32539370780165,58.2988555792262,55.3005029375191,54.63449959004885,55.289748551278265,55.068128831546495,53.5899060685206,56.68228232514207,57.46126550889218,49.24081546497848,60.05567367609522,57.644286057558595,50.71731992513819,56.102051389976964,57.38462198131019,53.66846844382068,51.5944410174614,53.01521884636808,56.466960883479395,51.69008867344286,56.876175268414315,54.49740943493604,53.60210373009584
102.0,53.99159871328762,59.29219811967064,55.40708252965279,60.08125137426513,59.8707373454077,47.9308595883918,61.392795638876876,60.186186548984274,52.55991855929082,58.01781539259911,59.76385305858903,53.71172476243874,59.00792961467002,54.64699277841209,59.00617021960206,51.12688086703315,57.19914807377074,54.699095961446424,54.2613092336072,56.26027488667689,58.30886605917509,57.092287438995584,59.504523816489325,59.03975623059945,49.110053813787765,63.53129919090684,61.2701147840216,54.972145363218786,58.976139019461364,61.49003854814309,54.989250762886066,51.72340715231069,53.70998571374828,60.104582948159106,52.44137802404843,58.346398395252415,55.367127310342525,54.752594654929325,55.51869328226755,55.433398575590566,54.07638264346116,57.010261513165396,57.76143887876933,49.43817401449609,60.31439350319644,57.82029366085347,50.84310931032912,56.45723123171121,57.523255984518904,53.83899178423077,51.70135819948241,53.31117295514522,56.604307350791096,51.88452403347073,56.99494763331596,54.69219507599339,53.82804395347452
103.0,54.18234636602662,59.56485812041958,55.72766869870011,60.358517269200426,60.1412841571024,48.04917414847578,61.55871518184375,60.31902717377709,52.652299824343814,58.332486829622056,59.92711256798345,53.811447513557766,59.02081045900963,54.908381633038154,59.10747102137291,51.34142212499019,57.28850418303461,54.81939808858506,54.48508692224064,56.376665143496574,58.409164195997825,57.27290059192941,59.63655088743097,59.15384213470981,49.18527468679238,63.61305876083697,61.34807234638631,55.08062327131735,59.182496666087005,61.55174599702791,55.066501880471534,51.752560175041474,53.78854288242087,60.14692223989949,52.560235457799564,58.39365408047012,55.43559857492787,54.875086250499145,55.736444839891355,55.79369711572305,54.55701269510985,57.333475576631045,58.055553305229424,49.631510586028774,60.56242896791989,57.99297395457903,50.96690218718381,56.80342622884892,57.65874797285467,54.006315511873574,51.8070725358683,53.601902231606445,56.740846725612144,52.073081040941155,57.11464183894926,54.883246776142784,54.04649301074479
104.0,54.373574540533575,59.83724479001885,56.05077064224486,60.63691966925057,60.41160557813906,48.17014486055783,61.72346291103591,60.45076347695805,52.74593291305559,58.64790439044269,60.088249263540526,53.91400057057429,59.024861716578485,55.170890603624514,59.2079434581598,51.56002397583593,57.37688517717062,54.94167757107152,54.71261193679593,56.493724540678095,58.51332812229563,57.45031207377553,59.773399739647665,59.27161759982519,49.261249155020636,63.6927767978913,61.42594896995919,55.191144722150774,59.38368503613303,61.60970318718828,55.14566897359695,51.78828540410507,53.867865942971825,60.190544133915154,52.68213388801772,58.440597931973095,55.5061080626847,55.00212210635275,55.942718796631965,56.14854899382877,55.031179633849106,57.6514532327305,58.343308025711615,49.82054743544989,60.79933990474349,58.161980246856416,51.08866372121213,57.14028776705458,57.79098670546954,54.17024160635132,51.911574061403236,53.88711559488947,56.876308121392455,52.255537035654335,57.2350886168365,55.07032770902824,54.25714924724063
105.0,54.56515058014461,60.10922002343799,56.37619719458415,60.91609732012417,60.68145060393116,48.2935994560598,61.887034744034494,60.581221522755165,52.84078638399938,58.96388730715919,60.24698914782644,54.019293462262745,59.020100920686396,55.43428352544914,59.30738436191805,51.78237061903077,57.46416140861366,55.06585745008007,54.943514672240795,56.61181065548806,58.62164031195155,57.624837557245755,59.915288072120056,59.39338104113462,49.33806733707857,63.77071839138708,61.503730472018276,55.30373308861322,59.57995681723726,61.664060045438376,55.226871364123724,51.83043073285498,53.94833266690395,60.23540637835596,52.80723298500985,58.48721049956712,55.57884399145047,55.133834866099804,56.13728414552791,56.49751407077649,55.49830168278756,57.96375179383137,58.624437819110355,50.00502775603712,61.02474112377839,58.32698509909925,51.208370040582615,57.4675177373738,57.91987632790109,54.33058933237256,52.01485953973585,54.16655517929935,57.01042718596799,52.43170017560045,57.35611836184836,55.25322186841178,54.45974824773599
