x,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56
0.0,46.35343912626502,45.82484224129439,36.5892294151039,48.12829566481225,47.31388934545724,47.00036079004021,52.79402837208147,55.66844065304576,50.13647861230299,41.57351558026869,53.69718281999124,50.85280758222889,54.64835165113001,44.72639610393,56.87367498086648,47.00833158676836,55.47478736117113,50.05617753509803,47.86418366832674,44.93516757056749,47.02025932015809,36.492298784192684,47.07573646364267,46.938300331467474,45.77064213335496,53.17805888626423,56.60791220144587,48.11821570986765,40.8590468985953,54.284068344455605,49.32501408389159,52.36126090130347,43.89376094565334,58.40836312212631,44.96296970794152,57.484793725398596,48.98794716501124,46.01999767409768,46.35709239376416,45.7747479528125,35.81449685847414,47.684705563755,47.81463954019678,46.911762186228614,52.23939919599647,55.63594190653419,48.301592250898985,40.60090007395584,54.003096381887055,50.93867197319703,50.91906308391211,43.96647230781048,57.14918885200598,46.952782330415495,57.23645216494799,50.558465480960656,47.23266867730037
1.0,46.27324645507278,45.735120824394365,36.523024380756084,48.0701719198409,47.236778140700146,46.94125576064872,52.68946248106873,55.593652830334634,50.06955306795856,41.48765940266697,53.62875091235785,50.78633462808587,54.62362877274106,44.63908322227273,56.811707801708394,46.93997653211601,55.39693734596198,49.98263956090659,47.81834666795144,44.86220595655589,46.917341459300786,36.42272046846145,47.01476907139926,46.85525244168161,45.72322095756747,53.086188580027674,56.53346732859713,48.09610746312168,40.7533734267537,54.210512641740024,49.272205250158,52.33288577715251,43.80639085979276,58.34558062375316,44.91162813176411,57.387410486195506,48.930139634216246,45.9808958285629,46.25295882300571,45.636215994788564,35.69808988168004,47.57005681967582,47.68018772655097,46.83082962480376,52.09468437773605,55.51942165787485,48.21290197699433,40.47675491533366,53.89768626875436,50.84181711726715,50.83286671473659,43.859938710446905,57.03905522328526,46.859734332227355,57.133441339370506,50.46011422220424,47.137591803082614
2.0,46.19641080556661,45.650366111412055,36.46285993674856,48.01599720759663,47.16404764676425,46.88350607077586,52.58862994529632,55.52105429277722,50.004173473503336,41.40750836457327,53.56265271925146,50.72160200895942,54.59960710518108,44.555917640850815,56.75117796608445,46.87393186556881,55.32051188472832,49.91133046598976,47.77501676731818,44.793256479472994,46.81926815539399,36.359258546912734,46.958102294488434,46.77679264293563,45.6776023720012,52.99825389882305,56.461295820683326,48.07615850721618,40.653517967908705,54.13941429692226,49.221659043871796,52.30549661053712,43.723076095964316,58.28417901816168,44.86313183629035,57.291447223452835,48.87490250451909,45.94488771759396,46.15196648884158,45.50204472895156,35.587687438861515,47.45912168168633,47.549828083618486,46.7514285413585,51.95341581173351,55.404815009155364,48.12584471050497,40.358129938349784,53.79433475707714,50.7467285595153,50.747840557820645,43.757211379948146,56.93014240729209,46.768852545920495,57.03175410044308,50.3638811723585,47.04501124527334
3.0,46.12295507107568,45.57060335517678,36.40875400919281,47.96578766953886,47.095719533839734,46.8271289270525,52.491560808011684,55.45066667124705,49.94035930891289,41.333086347143144,53.49890793475551,50.658629012057595,54.576293805752,44.47692413900875,56.69210350897526,46.81021726526182,55.245533748582886,49.84227149702915,47.73420687665397,44.728339682947755,46.72606862956671,36.3019319281478,46.90575301688508,46.70294431247709,45.63379996880124,52.914281042957306,56.39141918134367,48.0583747859808,40.55951027418581,54.07079449389053,49.1733905253721,52.27910156211202,43.64384147796172,58.22417660007805,44.817495271084475,57.19693252960878,48.82225223392852,45.91198406987659,46.05414548213145,45.3722741318875,35.48332242463817,47.351933203123686,47.42359945230499,46.673582593597956,51.815635589229075,55.292156107646555,48.04044639031048,40.24506048754365,53.69307264063654,50.65343463175965,50.66400994687084,43.65832092411938,56.82248285480892,46.68016404989748,56.93142074607361,50.26979500424522,46.95495458842735
4.0,46.05290113787698,45.49585632115476,36.36072271905376,47.919558265695784,47.031814160418925,46.77214112715675,52.3982839911505,55.382510937870975,49.878129587739984,41.26441552455944,53.4375355517508,50.59743440030563,54.55369582069612,44.402126253011964,56.63450203172865,46.74885171508243,55.17202527740521,49.775483230277054,47.695929155344025,44.66747490906424,46.63777065079647,36.250757692742674,46.85773683615687,46.63372945355773,45.59182679897764,52.83429503230391,56.32385823045692,48.04276159810943,40.4713783553577,54.004673678046785,49.127414076356594,52.253708496332536,43.56871061389138,58.165591247337844,44.774732033648654,57.10389456549772,48.77220450969367,45.88219468911576,45.95952494883194,45.24694286899475,35.38502593476619,47.2485233210007,47.301539442673345,46.5973149758716,51.68138476210435,55.181478520284244,47.95673246100416,40.137580252175034,53.59393009067441,50.56196313110496,50.5813998593785,43.56329680756163,56.716108643205935,46.59369526906583,56.83247117077751,50.177883751018676,46.867448665098294
5.0,45.986269878674314,45.426147280368184,36.31878037734644,47.87732277020696,46.97235056723042,46.71855905480909,52.30882728671927,55.3166073997805,49.81750285144941,41.2015163574255,53.3785538562566,50.53803640675548,54.531819883126424,44.331546269034064,56.57839069681529,46.68985349901405,55.100008373185275,49.71098556542566,47.66019500830884,44.61068029259857,46.554400527635416,36.20575108815898,46.81406805881697,46.56916868887752,45.55169536851689,52.758319698848204,56.258633097937974,48.02932359558131,40.38914847049866,53.941071550214936,49.083743395596464,52.22932497911132,43.4977058891384,58.10844041555929,44.73485486537151,57.0123610519595,48.72477424362998,45.8555284511146,45.86813308131244,45.12608828296349,35.292827256873316,47.14892284649012,47.183684422737564,46.52264841226243,51.55070333065081,55.0728152236679,47.87472786531185,40.03572125618625,53.49693664690371,50.47234131166031,50.50003490917768,43.4721673428927,56.61105146688354,46.50947196696466,56.73493485677056,50.08817479781309,46.782519547843904
6.0,45.92308114637916,45.36149700275948,36.282939480872024,47.83909376721928,46.91734647156588,46.66639867489075,52.223217348514694,55.25297569306123,49.75849716389355,41.144407586668805,53.321980421982225,50.48045272915325,54.51067251102047,44.26520521651667,56.523786222715025,46.63324019568832,55.029504493497846,49.64879771967793,47.627015082606064,44.55797275561568,46.47598310037167,36.16692552420088,46.77475969606136,46.50928125444014,45.51341763465565,52.68637767958653,56.19576321774021,48.0180647822751,40.31284512016064,53.88000706077101,49.042391494854805,52.20595827556411,43.43084845969671,58.05274113294235,44.69787564773182,56.922359261580084,48.67997556767621,45.83199330112989,45.779997109955204,45.00974638264946,35.20675386173249,47.05316145574441,47.07006950762692,46.449605149816314,51.42363023165164,54.966198594235216,47.79445703666014,39.939513848660546,53.402121208707065,50.38459587641872,50.419939339111366,43.38495968231141,56.507342627828955,46.427519238088415,56.638840865184605,50.00069487358315,46.700192541457575
7.0,45.86335376819553,45.30192475100286,36.25321070849436,47.80488264713754,46.86681826200112,46.615675528687,52.14147968418208,55.191634776902234,49.70113010593021,41.09310622795717,53.26783210509094,50.42470052466617,54.49026000527837,44.20312286190365,56.47070487893568,46.57902867314757,54.96053464510913,49.58893822202182,47.59639926425821,44.50936800242732,46.402541733628134,36.13429256901962,46.73982345989212,46.454084993821574,45.47700500231818,52.6184904097815,56.135267322065005,48.00898851277581,40.242491039073215,53.821498403996735,49.00337069500978,52.183615347845034,43.368158245865665,57.99850999519512,44.66380539875841,56.83391601056557,48.63782182968379,45.81159625150471,45.695143295041966,44.89795183234506,35.12683139507688,46.96126768105362,46.9607285491233,46.37820695191341,51.30020332678046,54.86166039861542,47.71594389189641,39.84898669477955,53.309512026526164,50.298752969300956,50.341137013808314,43.30169980950752,56.40501302628972,46.347861500409856,56.54421782740879,49.915470043140104,46.62049217542879
8.0,45.807105540010326,45.24744827476501,36.22960291795822,47.774699603230566,46.820780993513104,46.56640472925653,52.06363864761531,55.13260292794716,49.64541877018435,41.047627566628826,53.21612503917763,50.3707964047705,54.47058844784535,44.14531770275164,56.41916248116544,46.52723508381894,54.893119377717746,49.531424907709464,47.56835667530709,44.46488051491294,46.334098309400886,36.10786194566681,46.709269759627844,46.40359635285356,45.442468320718106,52.55467811657543,56.077163435780555,48.002097491375345,40.17810718936982,53.76556301265866,48.96669262238354,52.16230285307228,43.30965392631474,57.94576316058914,44.63265426974735,56.74705765075225,48.59832558943982,45.79434337957911,45.613596918929666,44.790737941450985,35.05308366995877,46.8732689023442,46.85569412557508,46.308475091783755,51.18045939132035,54.75923178416446,47.63921182416276,39.76416676728242,53.2191366934445,50.21483816736586,50.26365141257252,43.222412531919844,56.30409315156691,46.27052248810473,56.45109393655873,49.83252569938566,46.54344219663449
9.0,45.75435322109104,45.19808380541656,36.21212314325006,47.7485536285942,46.779248382994304,46.51860095692857,51.98971743170057,55.07589773484864,49.59137975595532,41.00798515313817,53.16687463046178,50.31875643030217,54.451663699899676,44.09180696221871,56.36917438656062,46.47787485970172,54.82727877783194,49.4762749129432,47.542895671095884,44.42452354820479,46.27067322053948,36.087641529197384,46.68310769880213,46.35783037472352,45.409817880125985,52.49495981296346,56.021468871051226,47.99739377126676,40.11971275434199,53.71221755281393,48.9323682052782,52.14202714134456,43.25535293251817,57.89451634514495,44.60443154223725,56.66181006175505,48.56149861492485,45.7802398258794,45.53538227851748,44.688136654551705,34.98553265965432,46.78919133902108,46.754997532190195,46.24043034616883,51.06443410320656,54.65894326968449,47.56428369592596,39.685079338429254,53.131022136965925,50.13287647318965,50.18750562238749,43.14712147334484,56.20461307293079,46.19552524448013,56.35949693907634,49.751886555746154,46.46906556226367
10.0,45.70511252909229,45.153846051195835,36.200776592502315,47.726452513471756,46.74223280516569,46.47227845492878,51.91973806140592,55.02153609302774,49.539029164271085,40.97419079901834,53.12009555319713,50.26859610667142,54.43349140010632,44.042606583932645,56.320755489169876,46.430962707769375,54.763032462784764,49.423504669769756,47.520023837779625,44.38830912673851,46.21228536467082,36.07363734432322,46.6613450724512,46.31680069549243,45.37906340880322,52.43935329212871,55.96820022217942,47.99487875393248,40.06732513272364,53.66147791884464,48.90040767071967,52.122794253849065,43.20527144356123,57.844784817949524,44.57914562524394,56.57819864325665,48.527351878806584,45.76928979258644,45.460522678007564,44.59017854189747,34.924198491116634,46.70906004215554,46.658668771711845,46.17409298913113,50.952162032396274,54.560824736330794,47.49118183216555,39.6117479724712,53.045194610991565,50.05289230741632,50.1127223310375,43.075849066897845,56.10660243066164,46.12289211510865,56.26945412646273,49.67357663880914,46.397384432977226
11.0,45.6593981353727,45.114748192826546,36.19556664644152,47.70840284293286,46.709745288889685,46.42745102513548,51.853721387219004,54.969534199639924,49.48838259309086,40.94625457336196,53.0758017452995,50.22033037924287,54.41607696293684,43.997731227240536,56.27392021549659,46.38651260558756,54.70039957488902,49.37312990118433,47.499747990064925,44.356248040670444,46.15895213856855,36.06585356361804,46.6439883647913,46.280519540031925,45.350214070103526,52.387875122140755,55.91737336066126,47.99455318872674,40.02095993350714,53.61335922872206,48.87082054141054,52.10460992106152,43.1594243813196,57.79658339660679,44.55680405275487,56.49624830743957,48.49589555517055,45.761496542283666,45.3890404219615,44.496892790295874,34.869099438978886,46.632898887021206,46.56673654547898,46.10948278601345,50.84367663056837,54.46490541870858,47.41992801372208,39.54419451862942,52.961679687997446,49.9749095014815,50.03932382034766,43.00861654832907,56.010090427218316,46.05264474117052,56.18099232714666,49.597619281164555,46.328420166305115
