x,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56
0.0,46.677418039399214,45.45611709004636,34.28535687935312,46.31223470808014,46.1987086217423,47.42193449394463,51.97608696914087,54.49314068057529,48.06807138102044,41.27077201059552,51.86053990849454,48.490950552642985,52.57527960706082,45.721832477118134,55.53545477531319,46.5425850885253,54.11158827827901,47.80417799022428,46.76894259706271,46.54470201392485,45.28036106461421,35.571989850384384,45.2311304400378,45.61515468946553,48.97295456723757,52.676967519606954,55.280126763242066,49.49643391574245,41.57735946016372,53.057550427121505,49.368870975680714,51.09787632231586,46.21342029375412,57.02126219506002,46.50915176071166,55.88456272524679,49.28051864618716,46.54638815218128,50.143665434674205,49.74424498180336,36.978155371416555,50.05837856950245,51.144547568347356,50.64853513810749,52.95424120427113,55.35900979625969,50.6358425433335,44.64141325775828,55.26973006955518,52.867597295805005,52.54006071201636,48.83340001074458,56.42162781020305,50.18476211892427,57.33991452052561,53.09101586411342,50.036662949033435
1.0,46.8767744310908,45.681928181386716,34.48206606071467,46.51792587282342,46.36087923624168,47.54904876585295,52.24745272740698,54.76390073959601,48.207627235313694,41.40068107429986,52.06009989713614,48.65229017465702,53.004326121578046,45.857818368064024,55.85591572985159,46.68193197299077,54.2866186961877,47.90233346755099,46.96734969234611,46.56972391190952,45.394728823949976,35.54140270553869,45.3439193131299,45.66344349809193,49.09109268025633,52.87259390481371,55.54332387467291,49.59645026095677,41.610034292971825,53.19472928704632,49.469916153554536,51.300529856713084,46.231567259005615,57.22396468341515,46.56114374431188,55.920788542349925,49.382860825576465,46.64831342093643,50.027137140797294,49.60929845640245,36.830430045656776,50.03722225187433,51.20073822327075,50.57452255063568,52.7059331132134,55.18394005208222,50.62587335821399,44.54079936495928,55.06245235955521,52.888919534216136,52.51446894921719,48.806938895044,56.17556623712522,50.270316875472545,57.24147805608153,53.12325162278509,50.085983956181956
2.0,47.06834904814593,45.912020881047724,34.69049083746736,46.729092441383756,46.52813610001245,47.6645304008574,52.51727422688888,55.0370910829054,48.35653349006388,41.53539708022704,52.2662928480607,48.81959711619537,53.439805183422244,45.99104735332477,56.1779220912717,46.81972757538125,54.466149350003796,48.00699080596583,47.1662092577994,46.596028476797954,45.53749783347386,35.53622809226681,45.47225831409755,45.72982935061202,49.19174528514205,53.08072382395694,55.817035626674134,49.68338896815012,41.65633397723911,53.339341504856534,49.56757177647924,51.508366927100944,46.24702370766711,57.43272216429203,46.60616255891262,55.965892430649916,49.4811889130004,46.74903157918912,49.89368466027365,49.46404657490438,36.68408588301571,50.00714463824458,51.23755487164907,50.48435898532888,52.464033690351016,55.01571141955805,50.601272640626675,44.42802271126354,54.84926129998666,52.898762994711376,52.480575462480815,48.76040876257707,55.93811053381185,50.336676105513064,57.139733408700394,53.14075238596221,50.119715903778335
3.0,47.2504685740003,46.14432254721431,34.908744793455035,46.94412501801521,46.69911661652097,47.76686141919712,52.7823818464206,55.30947376385982,48.512624256111174,41.673835321606376,52.47684571960258,48.990823830607546,53.877367425751345,46.12043871047577,56.4978464249338,46.954309361074735,54.64772787563276,48.11682662643847,47.36349581918702,46.62383990430877,45.7087024738036,35.5580444628642,45.61624956225771,45.81500277808503,49.27429059937097,53.30007643280087,56.09940669126226,49.757579298349505,41.71654483989532,53.49049756781118,49.66174253679645,51.72147884742535,46.26084985839324,57.64650038184109,46.64461954240384,56.01970011671459,49.57548059888504,46.848761019553045,49.74401738864878,49.3095696218362,36.54097003862907,49.96804214944421,51.254260628455214,50.37822857053602,52.23068806735324,54.855431287908075,50.561284056497506,44.30419079312384,54.63155148903528,52.89612612783618,52.437668790945246,48.69375497282166,55.711022595620754,50.38255918582609,57.03488905887812,53.14255658277033,50.13701399638451
4.0,47.42167145395974,46.37686156120713,35.135024196494854,47.1614964789262,46.87254007006072,47.85473849465377,53.0398170765353,55.57792174763457,48.67372099417397,41.81502245697493,52.689533634812356,49.16396095431147,54.312667363396656,46.2450396847783,56.81216937794803,47.08411365623583,54.82893848962269,48.23053865683843,47.557278637696065,46.65329846334706,45.907976347894916,35.60807526925167,45.77579482578307,45.91939935521038,49.3382594426745,53.52919731404739,56.38847657126796,49.81948205340849,41.79069914527942,53.6472195933083,49.75237097187582,51.939944913330386,46.274020318366894,57.864220518547185,46.67695429932933,56.08193947575428,49.66574983890684,46.94770006352934,49.578963384552225,49.14699739185836,36.402939368888426,49.91988734309643,51.2503457280003,50.25644143719512,52.00791131324946,54.7041274324024,50.505259142711196,44.17049676049515,54.41075852133356,52.880100572228045,52.3850789722888,48.60709642906756,55.495974011984714,50.40685653994203,56.92721756806909,53.12782140428277,50.137175448915904
5.0,47.58071835653106,46.607784682777904,35.367620880539455,47.37977509937362,47.04721665328516,47.927086941205054,53.286861136415155,55.839453292241764,48.83765862268905,41.95809833274338,52.90220266635706,49.33706021809851,54.741411223709186,46.36403060322569,57.117520132993356,47.207692784777784,55.00742991662522,48.34685963076662,47.74574304701335,46.684455815558316,46.134550549215916,35.68716530904539,45.950589676974914,46.04318769841207,49.38334048291191,53.76647274797506,56.68219768765409,49.869678666413506,41.8785705366616,53.80844943810655,49.839432839299754,52.16382332046275,46.28740720183708,58.08476547071237,46.703624760771476,56.152240060520256,49.75204154930067,47.04601836387203,49.39945936962108,48.97749235415639,36.2718286946569,49.86272787526403,51.22553137619463,50.11942902869389,51.797559300672674,54.56273149587975,50.43266870245874,44.028201368577115,54.18834088288484,52.849883686955,52.32218791930421,48.50072315341219,55.29452111410613,50.408642891577976,56.817050459147794,53.09583432222555,50.11964758988924
6.0,47.7265993378847,46.83537215609692,35.6049329962705,47.59763578312022,47.22205465345484,47.983071515963154,53.521059576077256,56.09126382966057,49.002311010021955,42.10231558349423,53.11279113468649,49.50825619390246,55.15940393246779,46.47672789372635,57.41071442156175,47.32373053501052,55.18094216496083,48.464570410257735,47.92721003434021,46.717272174802886,46.387258079284464,35.79576266219036,46.1401209057863,46.186261619233385,49.40938394379232,54.010146619216066,56.97845478267225,49.9088590060109,41.979673830689975,53.97305808087439,49.922932284391564,52.393141947522714,46.30176570876456,58.30698662827876,46.72509759996287,56.230133994696686,49.8344262119411,47.14384919580106,49.20654013294454,48.802233157927965,36.149419419235585,49.796684995431214,51.17977087080027,49.96773828861581,51.60130222490421,54.432063824794106,50.34311341308178,43.878614848756804,53.96576183357778,52.80479028807803,52.2484397488249,48.37509234017938,55.10808135216357,50.38718883694684,56.704772308794695,53.046023644863965,50.084034572341345
7.0,47.8585376795153,47.05805043516597,35.84547358344548,47.81386929038019,47.39606576489598,48.02210390620998,53.74024263089271,56.330754977132614,49.16561552153034,42.24703712198604,53.319349186317055,49.675786603066065,55.562594687430526,46.582585026810484,57.68878962499799,47.43105576199179,55.34733182105721,48.58251217320142,48.10015381897755,46.75161536269715,46.66454438295204,35.93390651946165,46.34366726886208,46.34823657299892,49.41640371401873,54.25833974305629,57.275085418090555,49.937808089731305,42.09326918374656,54.139856174882766,50.00289689592503,52.62788916558745,46.317722372556226,58.529711115907574,46.74183915481026,56.315058237555,49.91299448980689,47.241282776128834,49.001327470104705,48.62239870542215,36.0374089848547,49.72195158781931,51.11324799432441,49.802024812560056,51.420601146914926,54.312819893751126,50.23633346427532,43.72307896027828,53.744471520422096,52.744263413111476,52.16335090231699,48.23082293999748,54.937911358651924,50.341970575800445,56.59081415208367,52.977967947450125,50.0301025935368
8.0,47.9759904164625,47.27440243532451,36.087876953165676,48.027389392628464,47.56836852567071,48.04384681455845,53.942541159610066,56.55556035217693,49.32559630880079,42.39173166413468,53.52005644669927,49.83801093429779,55.94712057326435,46.68119142775552,57.94903653527903,47.52865395731389,55.5045955557645,48.69959752131668,48.26321721052365,46.787261786213975,46.964483879684614,36.10122111948577,46.5603036015377,46.528450478994856,49.40457781580284,54.50907135812901,57.56990133162668,49.95739191471114,42.21837058360245,54.30760565091835,50.079372745973885,52.868004839023975,46.33576614082756,58.75174944593763,46.75430699722252,56.40635820774235,49.98785195116582,47.338360731590875,48.785018786334405,48.43915300447532,35.937381639234964,49.638789774106286,51.026372719374734,49.6230450609845,51.25668788491623,54.205558529314324,50.11221705165769,43.56294947395552,53.525889559068794,52.66788394578692,52.06651989527957,48.068688840950905,54.785087032886935,50.2726776604893,56.47564630838232,52.89140422395984,49.95778354064245
9.0,48.07864561995293,47.48317525601732,36.330902902341265,48.23723791546517,47.7381899063683,48.04821460365621,54.12639806248158,56.76356791229907,49.48038604945694,42.5359674644901,53.71323757207642,49.99342714503026,56.30934769976454,46.77226943636259,58.18902739660777,47.61567664605331,55.65089156172817,48.81482038137775,48.41522456008091,46.82389933264736,47.28480228045669,36.296915922757776,46.788908269685656,46.72596892339966,49.37424720980247,54.76028249938165,57.86071040161502,49.96854262435106,42.35375855471704,54.4750322352557,50.15241950842582,53.11337168454085,46.35624240575013,58.97190352786,46.76294227574775,56.503292735255286,50.0591139969712,47.435071817942735,48.558875491138004,48.25363099511976,35.85078096446946,49.54752809467716,50.91977430069235,49.43164773938088,51.11054852775076,54.11069211753035,49.97080756075836,43.399579325402044,53.31138831234393,52.57537894483419,51.95763653296309,47.88961072654336,54.65048595511709,50.17921864382444,56.35977074479446,52.78623461861764,49.86717699695608
