x,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5
0.0,48.58659566614328,48.448434958164796,46.36730615150336,46.419924246118455,49.41794300610343,52.45538421425266
1.0,48.52185676347746,48.34725073973752,46.316564199480965,46.34380498571423,49.30857223469307,52.374939696500036
2.0,48.460421943520025,48.24856138147228,46.26933620438391,46.27134936642752,49.20181920456026,52.29755883100799
3.0,48.402309510893446,48.152396288052664,46.22563623788393,46.20257897654904,49.097715722975096,52.223264673553835
4.0,48.3475367803085,48.058784112052734,46.18547732046988,46.137514306348415,48.996292807769635,52.15207936022428
5.0,48.296120071405355,47.96775274539991,46.14887141756825,46.07617474196892,48.897580678095984,52.08402410082004
6.0,48.24807470389104,47.87932931106454,46.11582943597802,46.01857855965145,48.8016087454226,52.01911917253615
7.0,48.203414992974956,47.793540154978466,46.08636122062098,45.96474292028901,48.70840560477087,51.95738391392053
8.0,48.162154245103686,47.71041083818533,46.060475551608434,45.91468386431361,48.61799902619536,51.89883671911191
9.0,48.124304753996185,47.62996612922454,46.03818014162512,45.86841630691699,48.5304159465096,51.84349503235929
10.0,48.08987779698092,47.55222999675144,46.019481633631216,45.82595403360669,48.44568246126018,51.79137534282439
11.0,48.058883631635794,47.477225602395826,46.00438559888304,45.78730969609845,48.36382381695159,51.74249317966868
12.0,48.031331492731816,47.40497529386088,45.99289653527312,45.75249480854678,48.28486440352392,51.69686310742648
13.0,48.00722958948164,47.335500598264616,45.98501786598998,45.721519744114204,48.20882774708584,51.65449872166531
14.0,47.98658510309357,47.26882221572588,45.98075193849826,45.69439373188058,48.13573650290504,51.615412644935205
15.0,47.9694041846319,47.204960013196654,45.98010002383921,45.6711248540933,48.065612448657916,51.57961652300768
16.0,47.95569195318429,47.14393301854269,45.98306231625209,45.651720043759155,47.99847647794095,51.54712102140594
17.0,47.94545249433637,47.08575941487408,45.989637933116164,45.63618508257857,47.9343485940454,51.517935822227024
18.0,47.938688858954556,47.03045653512767,45.99982491521379,45.62452459922305,47.87324790399729,51.49206962125702
19.0,47.93540306227698,46.978040856902545,46.01362022731413,45.61674206795598,47.81519261286444,51.46953012538012
20.0,47.935596083313094,46.92852799755061,46.03101975907743,45.612839807597496,47.760200018332206,51.45032405028235
21.0,47.939267864551894,46.881932709523255,46.05201832627988,45.61281898083354,47.708286505549616,51.434457118450645
22.0,47.94641731197908,46.838268875975956,46.07660967235804,45.61667959386946,47.65946754224739,51.42193405746777
23.0,47.95704229540312,46.797549506631675,46.10478647027322,45.624420496428236,47.61375767412931,51.41275859860379
24.0,47.971139649089814,46.75978673390461,46.13654032469441,45.636039382093074,47.571170520538246,51.40693347570423
25.0,47.988705172705565,46.724991809285335,46.17186177449977,45.651532788994736,47.53171877039831,51.40446042437565
26.0,48.009733632568945,46.6931750999884,46.21074029559559,45.67089610084288,47.49541417843414,51.40534018146846
27.0,48.034218763209985,46.66434608586338,46.25316430405191,45.69412354830161,47.46226756166855,51.40957248485733
28.0,48.06215326923702,46.638513356570314,46.29912115955402,45.72120821070839,47.43228879619959,51.41715607351934
29.0,48.093528827510426,46.615684609020455,46.34859716916869,45.752142018136105,47.405486814257976,51.42808868790972
30.0,48.12833608962241,46.595866645082936,46.40157759142393,45.786915753797516,47.381869601545596,51.44236707063503
31.0,48.16656468468247,46.57906536955812,46.458046640701305,45.82551905679134,47.36144419485628,51.45998696742373
32.0,48.20820322240734,46.56528578841828,46.517987491939266,45.86794042518941,47.34421667997915,51.480943128393804
33.0,48.25323929651487,46.55453200731606,46.58138228564618,45.914167219463636,47.33019218988531,51.505229309616865
34.0,48.30165948842038,46.546807230361175,46.64821213322167,45.96418566625199,47.319374903198494,51.532838274978644
35.0,48.35344937123478,46.542113759165716,46.71845712258443,46.017980862462295,47.311768042950014,51.56376179833494
36.0,48.40859351406317,46.54045299215844,46.79209632410516,46.07553677971264,47.30737387561849,51.59799066596266
37.0,48.46707548660238,46.541825424168046,46.86910779684246,46.13683626910709,47.30619371045447,51.63551467930504
38.0,48.528877864036524,46.546230646275816,46.94946859508035,46.20186106634518,47.30822789909046,51.67632265801029
39.0,48.5939822322287,46.553667345937356,47.0331547751648,46.27059179716384,47.31347583543605,51.720402443262884
40.0,48.6623691932075,46.56413330737373,47.12014140263794,46.34300798310996,47.321935955858535,51.767740901406256
41.0,48.734018370946714,46.57762541223166,47.21040255966723,46.41908804764203,47.3336057396488,51.818323927855985
42.0,48.80890841743639,46.59413964051262,47.303911352767784,46.49880932255889,47.348481709772365,51.872136451302325
43.0,48.887017019043526,46.613671071770625,47.400639920815344,46.58214805475372,47.36655943390543,51.92916243820068
44.0,48.96832090316041,46.63621388657824,47.500559443347484,46.66907941329142,47.38783352575539,51.98938489754883
45.0,49.05279584513884,46.66176136826057,47.603640149150806,46.75957749680695,47.41229764666578,52.052785885949525
46.0,49.14041667550778,46.69030590489643,47.709851325131254,46.85361534122271,47.43994450750483,52.119346512956646
47.0,49.23115728747274,46.72183899158637,47.819161325465224,46.95116492778258,47.47076587083733,52.189046946703684
48.0,49.32499064469434,46.75635123298671,47.93153758102841,47.052197191400104,47.50475255337895,52.26186641981268
49.0,49.42188878934376,46.79383234610896,48.0469466090999,47.15668202931853,47.54189442873242,52.33778323558196
50.0,49.521822850432955,46.83427116338353,48.165354023338395,47.264588310079986,47.58218043040474,52.41677477445063
51.0,49.624763052416704,46.877655635987246,48.286724544027685,47.3758838828011,47.62559855510441,52.49881750073814
52.0,49.73067872406436,46.92397283743328,48.411022008588304,47.49053558675247,47.67213586631791,52.58388696965682
53.0,49.839538307598374,46.973208967422586,48.538209382352235,47.608509261239,47.72177849816409,52.671957834595204
54.0,49.95130936809701,47.025349355955825,48.66824876959749,47.729769755778044,47.77451165952555,52.76300385467016
55.0,50.065958603158364,47.0803784677042,48.801101424839175,47.85428094057265,47.83031963845574,52.85699790254533
56.0,50.18345185282294,47.13827990663828,48.936727764373806,47.98200571727646,47.88918580686022,52.95391197251387
57.0,50.3037541097516,47.19903642091329,49.07508737807337,48.11290603004723,47.951092625451224,53.053717188842704
58.0,50.42682952965614,47.26262990800923,49.21613904142555,48.24694287688567,48.01602164897341,53.156383814376134
59.0,50.55264144197908,47.32904142012464,49.35984072781664,48.38407632125613,48.08395353169963,53.261881259396205
60.0,50.6811523608198,47.39825116982209,49.506149621053545,48.52426550398583,48.15486803319515,53.37017809073675
61.0,50.812323996103494,47.47023853592387,49.655022128120834,48.66746865543881,48.22874402434819,53.481242041149144
62.0,50.94611726498984,47.54498206965618,49.80641389216947,48.8136431079614,48.30555949366548,53.59504001891631
63.0,51.0824923035177,47.62245950103976,49.960279805732924,48.962745308595075,48.38529155383059,53.71153811771247
64.0,51.22140847848273,47.702647745525304,50.11657402416709,49.114730832053134,48.467916448523226,53.830701626705604
65.0,51.362824399544124,47.78552291087155,50.27524997930979,49.26955439395729,48.553409559497524,53.952495040899606
66.0,51.50669793155691,47.87106030426396,50.43626039335577,49.4271698643303,48.64174541391705,54.076882071713094
67.0,51.652986207126254,47.95923443967214,50.59955729294329,49.587530281340406,48.73289769194454,54.20382565779163
68.0,51.8016456393798,48.050019045443285,50.7650920234479,49.75058786529373,48.82683923458391,54.333287976050215
69.0,51.95263193495456,48.14338707212994,50.93281526347909,49.91629403287033,48.923542051772316,54.46523045294279
70.0,52.10590010719412,48.239310700549474,51.10267703957574,50.08459941159972,49.02297733071985,54.599613775955255
71.0,52.261404489552525,48.33776135007275,51.27462674109583,50.25545385457144,49.12511544449442,54.73639790531871
72.0,52.419098749200785,48.43870968713991,51.44861313529592,50.428806455376474,49.22992596084907,54.87554208593945
73.0,52.578935900831716,48.54212563400027,51.62458438259612,50.60460556327486,49.33737765128947,55.0170048595419
74.0,52.74086832065936,48.647978377674086,51.8024880520257,50.78279879858514,49.44743850037825,55.16074407702134
75.0,52.904847760608604,48.75623637913332,51.98227113684512,50.96333306829106,49.56007571527431,55.306716911002155
76.0,53.07082536269076,48.86686738269875,52.16388007033936,51.146154581860614,49.67525573550341,55.45487986859845
77.0,53.2387516735609,48.97983842565064,52.34726074177831,51.33120886727314,49.792944242957596,55.605188804372794
78.0,53.40857665925253,49.09511584805005,52.53235851253912,51.51844078724931,49.91310617212026,55.75759893348943
79.0,53.58024972008543,49.21266530276784,52.719118232385945,51.707794555679406,50.03570572051414,55.912064845058026
80.0,53.75371970574178,49.332451765718474,52.907484255901984,51.89921375424488,50.16070635936861,56.06854051566392
81.0,53.9289349305066,49.45443954629553,53.09740045906916,52.09264134922832,50.288070844503515,56.22697932308088
82.0,54.10584318866755,49.57859229800578,53.28881025599046,52.28801970850674,50.41776122742618,56.38733406016228
83.0,54.28439177006973,49.70487302929869,53.481656615749706,52.485290618723205,50.54973886663826,56.54955694890661
84.0,54.46452747582083,49.833244114588105,53.67588207940403,52.68439530263159,50.68396443914893,56.71359965469303
85.0,54.64619663414177,49.96366730546293,53.87142877710402,52.8852744366094,50.82039795219143,56.87941330068259
86.0,54.82934511635832,50.096103742083244,54.06823844533594,53.087868168333294,50.9589987551388,57.046948482381445
87.0,55.01391835302884,50.230513964758714,54.26625244428162,53.292116134612286,51.099725551615926,57.216155282360795
88.0,55.199861350203435,50.36685792570564,54.465411775290185,53.497957479373,51.24253641180385,57.386983285130015
89.0,55.387118705809385,50.5050950009793,54.66565709845693,53.70533087179191,51.38738878493279,57.55938159215795
90.0,55.57563462615839,50.64518400257798,54.866928750303714,53.91417452456893,51.53423951196036,57.733298837038326
91.0,55.76535294257034,50.787083190714874,55.06916676155574,54.1244262123371,51.68304483843069,57.908683200794414
92.0,55.95621712810891,50.93075028625471,55.27231087500961,54.336023290202725,51.83376042751133,58.08548242731859
93.0,56.1481703144239,51.07614248331074,55.47630056348703,54.548902712410545,51.98634137320338,58.263643838942144
94.0,56.34115530869522,51.22321646199896,55.681075047868994,54.763001051128334,52.140742213721374,58.44311435213072
95.0,56.53511461067362,51.3719284013453,55.886573315205084,54.97825451534537,52.296916945038724,58.623840493300655
96.0,56.72999042981301,51.52223399234214,56.09273413689233,55.19459896987909,52.45481903459461,58.80576841475147
97.0,56.925724702489234,51.67408845115032,56.29949608691844,55.411969954484235,52.61440143515855,58.988843910709996
98.0,57.122259109300295,51.82744653244253,56.50679756016374,55.63030270305896,52.77561659884818,59.17301243348101
99.0,57.319535092442635,51.98226254288425,56.71457679075663,55.84953216294199,52.9384164912962,59.358219109699874
100.0,57.5174938731587,52.13849035474822,56.92277187047677,56.06959301429522,53.10275260596238,59.54440875668211
101.0,57.71607646924997,52.296083419658174,57.13132076720079,56.29041968956586,53.26857597858611,59.73152589886524
102.0,57.915223712651006,52.45499478245813,57.34016134338483,56.511946393022356,53.43583720177539,59.919514784337814
103.0,58.11487626705865,52.615177095202675,57.5492313745786,56.73410712035848,53.60448643972793,60.10831940145076
104.0,58.31497464561128,52.77658263126447,57.75846856796527,56.95683567835936,53.77447344307976,60.29788349550623
105.0,58.51545922861321,52.93916329955443,57.96781058092168,57.180065704623885,53.945747563877156,60.48815058551879
106.0,58.7162702812983,53.10287065885053,58.177195039593485,57.4037306873375,54.118257770667256,60.679063981043946
107.0,58.9173479716282,53.26765593223104,58.38655955747955,57.62776398508955,54.29195266370304,60.8705667990693
108.0,59.11863238811935,53.43347002160765,58.59584175402015,57.852098846729184,54.4667804902579,61.062601980962846
109.0,59.32006355769372,53.60026352235435,58.80497927318337,58.076668431254035,54.64268916004555,61.255112309473745
110.0,59.521581463547946,53.76798673802765,59.01390980204418,58.301405827725624,54.81962626074041,61.448040425780334
111.0,59.72312606303541,53.93658969517368,59.22257108935072,58.52624407520557,54.99753907359388,61.64132884658029
112.0,59.92463730555606,54.10602215821792,59.43090096407216,58.751116182706724,55.17637458914208,61.83491998121783
113.0,60.12605515044863,54.27623364443298,59.63883735392267,58.97595514915324,55.356079523000105,62.028756148843016
114.0,60.327319584879824,54.44717343898004,59.84631830385602,59.20069398334378,55.536600331738164,62.22277959559784
115.0,60.52837064172538,54.6187906100194,60.053281994525186,59.42526572391162,55.71788322883503,62.4169325118242
116.0,60.72914841743719,54.79103402388573,60.259666760701506,59.649603459275816,55.89987420070373,62.61115704928826
117.0,60.92959308989187,54.96385236032346,60.465411109647974,59.87364034757778,56.08251902278511,62.80539533841649
118.0,61.12964493621468,55.13719412777771,60.67045373944114,60.09730963659688,56.26576327570403,62.999589505538005
119.0,61.32924435057431,55.31100767873638,60.87473355723614,60.32054468363938,56.449552361483846,63.19368169012824
120.0,61.528331861942334,55.48524122511851,61.07818969746941,60.543278975394784,56.63383151981386,63.38761406204841
121.0,61.72684815181284,55.65984285370473,61.280761539993634,60.76544614775361,56.81854584436536,63.58132883877633
122.0,61.92473407187643,55.83476054160486,61.48238872813975,60.98698000558062,57.00364029915101,63.77476830262266
123.0,62.121930661643624,56.00994217175826,61.68301118670029,61.207814542437944,57.18905973492293,63.96787481792806
124.0,62.31837916601223,56.18533554846216,61.88256913982884,61.4278839602517,57.37474890560455,64.16059084823587
125.0,62.51402105277352,56.360888412923515,62.08100312885049,61.64712268891668,57.56065248475126,64.35285897343516
126.0,62.70879803005202,56.53654845882959,62.27825402997752,61.86546540583311,57.74671508203502,64.5446219068692
127.0,62.90265206367373,56.712263347932755,62.47426307192558,62.082847055369655,57.932881259748065,64.73582251240413
128.0,63.095525394457425,56.887980725644724,62.66897185342457,62.299202868246816,58.1190955493206,64.92640382145274
129.0,63.28736055542426,57.06364823663571,62.862322360619615,62.51446838083512,58.305302467847845,65.11630904994838
130.0,63.478100388919984,57.23921354043385,63.05425698435613,62.72857945436212,58.491446534621225,65.30548161526396
131.0,63.667688063645336,57.414624327020086,63.24471853734479,62.941472294022766,58.677472287658965,65.49386515307074
132.0,63.856067091588926,57.589828332414065,63.43365027120053,63.153083467987074,58.86332430023108,65.6814035341323
133.0,64.04318134485801,57.76477335424627,63.620995893350795,63.36334992629981,59.04894719737392,65.86804088102818
134.0,64.22897507240192,57.939407267311864,63.80669958380813,63.57220901966641,59.234285672389184,66.05372158480289
135.0,64.4133929166231,58.11367803910145,63.99070601180169,63.77959851811929,59.419284503322736,66.23839032153452
136.0,64.5963799298711,58.287533745304266,64.17296035226329,63.98545662955961,59.60388856941799,66.42199206881872
137.0,64.77788159081429,58.46092258527915,64.35340830216256,64.18972201816817,59.78804286753934,66.6044721221627
138.0,64.95784382068462,58.63379289748861,64.53199609668668,64.39233382268054,59.97169252856039,66.78577611128449
139.0,65.13621299939047,58.80609317489149,64.7086705252597,64.5932316745209,60.15478283371234,66.96585001631276
