x,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5
0.0,47.29771237110714,48.002194262120966,45.0958498174684,46.5592276734935,49.20862866036996,50.86075865769702
1.0,47.345346193370325,47.90935093245726,45.152305347680894,46.52167672771814,49.11909464662695,50.88915556124719
2.0,47.39769671648009,47.819527968478084,45.21367270972994,46.487576309880644,49.032405891218566,50.92239980455186
3.0,47.45464664208674,47.73274420763813,45.279836557357655,46.45690229995909,48.94857028998022,50.96038260585611
4.0,47.51607615820105,47.64901712096826,45.35067897961984,46.429629788556525,48.867594706362475,51.002992292841796
5.0,47.58186309745317,47.568362817864255,45.426079653041384,46.40573312489941,48.78948499097474,51.05011445549575
6.0,47.65188309726974,47.49079605181841,45.505915995704186,46.38518596473253,48.71424600162213,51.10163210141352
7.0,47.726009761773874,47.416330227080046,45.590063323081054,46.36796131804844,48.64188162380376,51.157425813347466
8.0,47.80411482521108,47.344977406229646,45.6783950054267,46.354031596589415,48.57239479164016,51.21737390880672
9.0,47.886068316702506,47.27674831865044,45.77078262653571,46.34336866106096,48.505787509197056,51.28135260151292
10.0,47.97173872612556,47.21165236988084,45.867096143676164,46.33594386799617,48.44206087217314,51.34923616451509
11.0,48.060993170921115,47.14969765182967,45.96720404850586,46.33172811621119,48.381215089918335,51.42089709476407
12.0,48.153697563625386,47.090890953835846,46.070973528778,46.33069189279278,48.32324950774969,51.496206278946424
13.0,48.24971677992401,47.035237774553046,46.17827063064189,46.33280531855977,48.268162629531425,51.57503316037572
14.0,48.34891482702588,46.98274233463934,46.288960421344164,46.338038192941085,48.215952140485875,51.65724590673858
15.0,48.45115501215358,46.93340759023084,46.402907152135604,46.34636003821428,48.16661493020162,51.74271157849213
16.0,48.556300110947866,46.887235247177806,46.51997442118899,46.3577401430492,48.12014711580567,51.83129629770827
17.0,48.66421253558391,46.844225776021055,46.64002533633324,46.37214760530294,48.07654406526611,51.92286541716114
18.0,48.77475450239744,46.804378427685684,46.76292267741006,46.389551374013024,48.03580042079176,52.017283689452924
19.0,48.887788198820054,46.76769124986844,46.888529058059746,46.4099202905374,47.99791012229594,52.114415435973996
20.0,49.00317594942394,46.734161104094895,47.0167070867438,46.43322312879094,47.962866430891054,52.2141247154939
21.0,49.120780380877434,46.7037836834214,47.14731952681351,46.4594286345295,47.93066195238115,52.31627549217994
22.0,49.24046458561483,46.67655353075672,47.28022945543453,46.488505563634234,47.901288660720056,52.42073180284153
23.0,49.36209228402519,46.65246405777756,47.41530042117962,46.5204227193501,47.87473792140248,52.52735792319941
24.0,49.4855279849672,46.63150756441174,47.5523966001034,46.55514898843429,47.851000514756336,52.63601853298033
25.0,49.61063714441949,46.613675258862415,47.69138295011497,46.59265337617174,47.83006665910452,52.74657887963946
26.0,49.73728632207794,46.59895727814594,47.8321253634668,46.632905040216585,47.81192603376493,52.858904940514655
27.0,49.865343335714755,46.587342709116406,47.9744908171805,46.6758733232203,47.796567801858,52.972863583218896
28.0,49.994677413116456,46.578819609948525,48.11834752123322,46.72152778420862,47.78398063289132,53.08832272407956
29.0,50.12515934142163,46.573375032051146,48.26356506433096,46.7698382286717,47.77415272509173,53.20515148443573
30.0,50.256661613682276,46.570995042382656,48.41001455709858,46.82077473733315,47.76707182745539,53.323220344607705
